artistname,birthdate,death date,birthplace,country of residence,biography text,nationality
Hafidh al-Droubi,1914,1991,"Baghdad, Iraq","Baghdad, Iraq","Al-Droubi began his art education at the Accademia Reale in Rome, and later went to London to study at Goldsmiths College in 1950. He established the first freelance atelier in Baghdad in 1942, and founded the experimental Impressionists Group in 1953. Al-Droubi was the head of the Society of Iraqi Plastic Arts for six years, and the dean of the Academy of Fine Arts in Baghdad. He played a vital role in setting up an academic foundation for art education in Iraq.",Iraqi
Mohanna Durra,1938,,"Amman, Jordan","Amman, Jordan","In 1958 Durra graduated from the Accademia di Belle Arti in Rome. After a brief stint teaching at the Teachers Training College in Amman, he spent the next decade in residence in Rome. In 1970 he returned to Jordan and received the National Award. Durra has been credited with establishing an academic art appreciation in Jordan.",Jordanian
Fuad al-Futaih,1948,,"Sana'a, Yemen","Sana'a, Yemen","Al-Futaih is one of the first artists in Yemen to have established a professional career. He studied in Germany for a degree in fine art at the Kunstakademie in Düsseldorf, followed by a Ph.D. in Art History from the University of Cologne. Since his return to Yemen, Al-Futaih has played an important role in developing his country's art scene. He opened the first exhibition hall in Yemen, and established the National Art Center.",Yemeni
Abdel Hadi el-Gazzar,1925,1966,"Alexandria, Egypt","Cairo, Egypt","After moving to Cairo with his family as a young boy, el-Gazzar joined the Artistic Club, led by the renowned artist Hussein Youssef Amin at the Helmiyya Secondary School. By 1950 he had completed a degree in painting at the School of Fine Arts in Cairo, where he later became an assistant professor of photography. El-Gazzar was an essential constituent of the Contemporary Art Group founded by Hussein Youssef Amin in 1946. He won several awards throughout his career, including a bronze medal from an exhibition in São Paulo, and a gold medal from the Arab Salon in Rome, both in 1957.",Egyptian
César Gemayel,1898,1958,"Ain el Touffah, Lebanon","Beirut, Lebanon","In 1927, Gemayel abandoned his interests in pharmacology to pursue his interests in painting at the Académie Julian, Paris. Encouraged by his mentor Khalil Saleeby, Gemayel won the First Prize at the 1931 Paris Exhibition Coloniale Internationale. He returned to Beirut and continued to draw and paint, and in 1937, with the founding of Académie Libanaise des Beaux-Arts, he started to teach.",Lebanese
Jilali Gharbaoui,1930,1971,"Jorf El Maleh, Morocco","Rabat, Morocco, and Paris, France","As a young adult, Gharbaoui took night classes in painting at the Academy of Arts in Fez. He continued his studies at the École Nationale Supérieure des Beaux-Arts and the Académie Julian in Paris from 1952 until 1958, when the Italian government awarded him a scholarship and he moved to Rome. In 1960 he returned to Morocco and established a studio in Chellah, on the outskirts of Rabat.",Moroccan
Paul Guiragossian,1926,1993,"Jerusalem, Palestine","Beirut, Lebanon","Of Armenian descent, Guiragossian studied art at the Yarkon Studio in Jerusalem before immigrating with his family to Lebanon in 1948. He won a scholarship to the Accademia di Belle Arti in Florence in 1957. He won First Prize at both the 1958 Florence Biennale and the 1961 Paris Biennale. He was made Knight of the Order of Arts and Letters by the French Ministry of Culture in 1984, and was posthumously awarded the Lebanese Medal of Honor of the Cedar.",Palestinian / Lebanese
Taheya Halim,1919,2003,Sudan,"Cairo, Egypt","Halim grew up in Egypt, where her father was King Fuad's chamberlain. She trained with several well established artists in Egypt at the time, including Hamed Abdalla, whom she married in 1943. She studied at the Académie Julian in Paris, and returned to Cairo, where she taught painting.",Egyptian
Mustafa al-Hallaj,1938,2002,"Salame, Palestine",Beirut and Damascus,"Due to the 1948 Nakba, al-Hallaj's family relocated to Damascus when he was ten. Al-Hallaj trained as a sculptor at the Fine Arts Academy in Cairo, and completed his postgraduate studies at the Luxor Atelier in 1964. A fierce advocate for Palestine, al-Hallaj was a founding member of the General Union of Palestinian Writers and Journalists, and a member of the General Union of Palestinian Abstract Artists in Syria. Al-Hallaj died tragically while rescuing his work from a fire in his studio.",Palestinian
Mahmoud Hammad,1923,1988,"Damascus, Syria","Damascus, Syria","Hammad studied at the Accademia di Belle Arti in Rome from 1953 to 1957. Upon his return to his homeland, his fascination with calligraphy evolved into an abstract approach toward letters, words, and forms. He held a position as art professor at the Faculty of Fine Arts in Damascus, and was appointed the Dean of the Faculty of Fine Arts in Damascus until his retirement in 1980. He contributed to the creation of the Unknown Soldier Monument in Damascus, erected after his death in 1994.",Syrian
Jamil Hammoudi,1924,2003,"Baghdad, Iraq","Baghdad, Iraq","A 1946 graduate of the Institute of Fine Arts in Baghdad, Hammoudi earned a government scholarship to study in Paris.",Iraqi
Menhat Helmy,1925,2004,"Cairo, Egypt","Cairo, Egypt","Helmy received a diploma from the High Institute for Artistic Education in 1949. In 1952 she was awarded a governmental scholarship to study at the Slade School of Art in London, where she completed her degree in 1955. Later she was given the position of Professor Emerita of Graphics at the Accademia di Belle Arti, Florence. Helmy worked as an instructor at several Cairo institutions, including the Fine Arts Institute in Cairo, the Artistic Education Institution, and Helwan University.",Egyptian
Abdul Halim Hemche,1906,1979,"Tlemcen, Algeria","Paris, France","Hemche began his artistic education at the École des Beaux-Arts in Algiers. He taught art in 1927 in Fez and followed that by working as an inspector of Moroccan art in 1929. Hemche won the Jean Bevier Award and received a grant from the city of Algiers. He moved to Paris to study at the École Nationale Supérieure des Beaux-Arts in 1938. Years later, after 1962, he took up a position as a teacher there.",Algerian
Adam Henein,1929,,"Cairo, Egypt","Cairo, Egypt","Born into a family of metalworkers, Henein received a degree in Sculpture from the School of Fine Arts in Cairo in 1953. He later studied at the Akademie der Bildenden Künste in Munich. Soon after completion of his training, Henein received a two-year grant from the Egyptian government. In 1971 he moved to Paris, where he focused primarily on producing abstract paintings on papyrus. In 1990 Henein was offered a leading role in restoring Giza's iconic Sphinx, a first step in moving back to Egypt, which was finalized once he committed to establishing a yearly International Sculpture Symposium in Aswan, Egypt, in 1996, which he directs to this day.",Egyptian
Mohammed Ghani Hikmet,1929,,"Baghdad, Iraq","Amman, Jordan","Hikmet graduated from the Institute of Fine Arts in Baghdad in 1953. A protégé of Jewad Selim, he was an influential member of the Baghdad Modern Art Group. He went on to graduate from the Accademia di Belle Arti in Rome in 1959. When he returned to Iraq, having studied bronze casting at the Institute of Zaka in 1961, Hikmet assisted Salim with his Monument for Freedom, and supervised its completion after Salim's death. He also taught sculpture at his alma mater and at the College of Engineering at Baghdad University, and created public sculptures in cities throughout Iraq.",Iraqi
Nazem al-Jaafari,1918,,"Damascus, Syria","Damascus, Syria","Al-Jaafari studied oil painting at the Faculty of Fine Arts in Cairo from 1944 to 1947. He returned to Syria and taught art at secondary schools, and later the Faculty of Fine Arts in Damascus.",Syrian
Khalid al-Jader,1922,1988,"Baghdad, Iraq","Baghdad, Iraq","Al-Jader graduated from the Institute of Fine Arts in Baghdad, 1946. He moved to Paris and earned his Ph.D. in the History of Islamic Art at the Sorbonne, a degree from the École Nationale Supérieure des Beaux-Arts in 1954, and joined the Salon de Paris. Upon his return to Iraq he took a position as dean of the Institute of Fine Arts for several years, and became a member of the Pioneers Group, the Impressionists Group, and was the head of the Society of Iraqi Artists.",Iraqi
Saadi al-Kaabi,1937,,"Najaf, Iraq","Stanton, USA","In 1960 al-Kaabi completed his studies in fine arts in Baghdad. In the succeeding decades he was integral to the Iraqi Modernist movement with such contemporaries as Jamil Hammoudi and Ismail Fattah. From 1981 to 1985 al-Kaabi worked as Director of Theatre Production at the Cinema and Theatre Foundation in Baghdad, and as the Director of the Department of Planning at the Iraqi Ministry of Culture. He later became President of the Iraqi Plastic Artists Association.",Iraqi
Youssef Kamel,1891,1971,"Cairo, Egypt","Cairo, Egypt","Kamel was one of the first graduates of the School of Fine Arts in Cairo in 1911, and went to Rome to continue his studies in 1921. When he returned to Cairo he joined the Society of Fine Arts and taught Painting at the Higher Institute of Fine Arts, where he became Head of the Painting Department in 1937. Kamel was Director of the Museum of Modern Art in Egypt from 1948 to 1949 and Dean of the Faculty of Fine Arts from 1950 until his retirement in 1953. Kamel received the Egyptian State Merit Award in 1960.",Egyptian
Louay Kayyali,1934,1978,"Aleppo, Syria","Aleppo, Syria","Kayyali received a government scholarship to study art and graduated from the Accademia di Belle Arti in Rome in 1961. While in Italy he won several awards, and along with Fateh Moudarres, Kayyali represented Syria in the 1960 Venice Biennale. On his return to Syria he taught art at a Damascus state school, and later served as professor of the Interior Design department at the Faculty of Fine Arts at the University of Damascus.",Syrian
Omar el-Nagdi,1931,,"Cairo, Egypt","Cairo, Egypt","In 1953 el-Nagdi graduated from the Faculty of Fine Arts at Helwan University and in 1957, he completed a degree at the Faculty of Applied Arts in Cairo. In 1959 el-Nagdi studied ceramics while on scholarship in Russia, and received a series of art diplomas in Italy between 1960 and 1964, from the Accademia di Belle Arti in Venice, the Accademia di Belle Arti in Ravenna ,and the Ruskin Artistic Appreciation Institute, also in Venice. He won the Grand Prize at the Alexandria Biennials of 1966 and 1974.",Egyptian
Mohammed Nagy,1888,1956,"Alexandria, Egypt","Cairo, Egypt","Nagy studied law in Lyon, France, from 1906 to 1910, and was the first Egyptian to study art in Florence, from 1910 to 1914. In 1932 he founded the Alexandria Atelier, and three years later, the Cairo Atelier for Artists and Writers. From 1937 to 1939 he was the first Egyptian Director of the School of Fine Arts in Cairo, also his alma mater. Nagy later became Director of the Museum of Modern Art in Cairo from 1939 until 1947, when he became President of the Egyptian Academy in Rome. In 1962 the Egyptian Ministry of Culture converted his Cairo studio into a museum.",Egyptian
Rafa al-Nasiri,1940,,"Tikrit, Iraq","Amman, Jordan","Al-Nasiri studied painting at the Institute of Fine Arts in Baghdad from 1956 to 1959, printmaking in the Central Academy of Fine Arts in Beijing from 1959 to 1963, and won a scholarship to study art at the Gravura engravers' cooperative in Lisbon, Portugal, from 1967 to 1969. He founded and led the Graphic Arts Department at the Institute of Fine Arts in Baghdad, and also taught painting, graphic art, and graphic design in Jordan and Bahrain. A winner of international and regional prizes, al-Nasiri has published books and essays on Iraqi art, and a book entitled Contemporary Graphic Art in 1997.",Iraqi
Ahmed Nawar,1945,,"Gharbiya, Egypt","Cairo, Egypt","Nawar gained a BFA in Graphic Art from Helwan University in 1967 and went on to obtain a degree in graphics and murals from the Real Academia de Bellas Artes de San Fernando in Madrid while on a scholarship. He served as the Head of the Fine Arts sector of Egypt's Ministry of Culture from 1988 to 2006. He was also Head of the Museums Sector of the Supreme Council of Antiquities in Egypt from 1994 to 1999, and founder of the Faculty of Fine Art, El Menia University, in Egypt. He currently heads the graphic department and teaches at the Faculty of Fine Arts at Cairo University.",Egyptian
